cette , hugo_claude_gueux--utf8.txt	126 , 1178 , 990 , 766 , 366 , 806 , 374 , 922 , 390 , 52 , 90 , 626 , 1086 , 1018 , 1110 , 986 , 642 , 1154 , 618 , 1034 , 1186 , 978 , 854 , 834 , 1146 , 266 , 830
ceux , dumas_blanche_beaulieu-utf8.txt	51 , 97
ceux , hugo_claude_gueux--utf8.txt	822 , 1026 , 378 , 950 , 618
ceuxlà , hugo_claude_gueux--utf8.txt	622
chacun , dumas_blanche_beaulieu-utf8.txt	54
chacun , hugo_claude_gueux--utf8.txt	214 , 910 , 518 , 1130 , 1130
chacune , hugo_claude_gueux--utf8.txt	830
chagrin , hugo_claude_gueux--utf8.txt	374
chambre , hugo_claude_gueux--utf8.txt	1042 , 1042 , 866
chambres , hugo_claude_gueux--utf8.txt	1030
chambrée , hugo_claude_gueux--utf8.txt	558
champ , dumas_blanche_beaulieu-utf8.txt	80
champ , hugo_claude_gueux--utf8.txt	1174
champenois , hugo_claude_gueux--utf8.txt	874
champs , dumas_blanche_beaulieu-utf8.txt	109
chancelant , hugo_claude_gueux--utf8.txt	822
chandelle , hugo_claude_gueux--utf8.txt	266 , 114
chandelles , hugo_claude_gueux--utf8.txt	626
changé , hugo_claude_gueux--utf8.txt	262 , 374 , 302
chapeau , hugo_claude_gueux--utf8.txt	478
chapitre , hugo_claude_gueux--utf8.txt	986
chaque , dumas_blanche_beaulieu-utf8.txt	107 , 65 , 139
chaque , hugo_claude_gueux--utf8.txt	1174 , 1174 , 378 , 542 , 118 , 642
charge , hugo_claude_gueux--utf8.txt	814 , 150
chargea , dumas_blanche_beaulieu-utf8.txt	124 , 169
charger , hugo_claude_gueux--utf8.txt	838
chargé , dumas_blanche_beaulieu-utf8.txt	279
charité , hugo_claude_gueux--utf8.txt	778
charles , dumas_blanche_beaulieu-utf8.txt	357
charles , hugo_claude_gueux--utf8.txt	81
charte , hugo_claude_gueux--utf8.txt	1146
chat , hugo_claude_gueux--utf8.txt	1130
chaux , hugo_claude_gueux--utf8.txt	466
chef , dumas_blanche_beaulieu-utf8.txt	310
chemin , dumas_blanche_beaulieu-utf8.txt	68 , 110
chemin , hugo_claude_gueux--utf8.txt	90 , 1018
chercha , hugo_claude_gueux--utf8.txt	246
chevalier , dumas_blanche_beaulieu-utf8.txt	26
chevet , hugo_claude_gueux--utf8.txt	778 , 1082
cheveux , hugo_claude_gueux--utf8.txt	106 , 934
chez , hugo_claude_gueux--utf8.txt	31
chien , hugo_claude_gueux--utf8.txt	370 , 690
chiourme , hugo_claude_gueux--utf8.txt	1130
choc , hugo_claude_gueux--utf8.txt	114
choisi , hugo_claude_gueux--utf8.txt	958 , 846
choisir , hugo_claude_gueux--utf8.txt	510
choléra , hugo_claude_gueux--utf8.txt	934 , 938
chose , dumas_blanche_beaulieu-utf8.txt	337 , 354 , 77
